frozenset({'0'})	{('0',): [342, 1]}
frozenset({'16', '13', '3'})	{('16',): [136, 1], ('13',): [255, 2], ('3',): [583, 4], ('16', '13'): [41, 3], ('16', '3'): [81, 5], ('13', '3'): [155, 6], ('16', '13', '3'): [28, 7]}
frozenset({'16', '4', '13'})	{('16',): [136, 1], ('4',): [290, 2], ('13',): [255, 4], ('16', '4'): [45, 3], ('16', '13'): [41, 5], ('4', '13'): [77, 6], ('16', '4', '13'): [14, 7]}
frozenset({'16', '7', '13'})	{('16',): [136, 1], ('7',): [350, 2], ('13',): [255, 4], ('16', '7'): [60, 3], ('16', '13'): [41, 5], ('7', '13'): [99, 6], ('16', '7', '13'): [21, 7]}
frozenset({'14', '16', '2'})	{('14',): [538, 1], ('16',): [136, 2], ('2',): [20, 4], ('14', '16'): [80, 3], ('14', '2'): [11, 5], ('16', '2'): [2, 6], ('14', '16', '2'): [2, 7]}
frozenset({'16', '15', '18'})	{('16',): [136, 1], ('15',): [173, 2], ('18',): [285, 4], ('16', '15'): [30, 3], ('16', '18'): [42, 5], ('15', '18'): [51, 6], ('16', '15', '18'): [9, 7]}
frozenset({'16', '15', '2'})	{('16',): [136, 1], ('15',): [173, 2], ('2',): [20, 4], ('16', '15'): [30, 3], ('16', '2'): [2, 5], ('15', '2'): [3, 6], ('16', '15', '2'): [0, 7]}
frozenset({'16', '15', '3'})	{('16',): [136, 1], ('15',): [173, 2], ('3',): [583, 4], ('16', '15'): [30, 3], ('16', '3'): [81, 5], ('15', '3'): [112, 6], ('16', '15', '3'): [18, 7]}
frozenset({'16', '4', '15'})	{('16',): [136, 1], ('4',): [290, 2], ('15',): [173, 4], ('16', '4'): [45, 3], ('16', '15'): [30, 5], ('4', '15'): [55, 6], ('16', '4', '15'): [12, 7]}
frozenset({'16', '7', '15'})	{('16',): [136, 1], ('7',): [350, 2], ('15',): [173, 4], ('16', '7'): [60, 3], ('16', '15'): [30, 5], ('7', '15'): [73, 6], ('16', '7', '15'): [17, 7]}
frozenset({'17', '1', '15'})	{('17',): [540, 1], ('1',): [66, 2], ('15',): [173, 4], ('17', '1'): [40, 3], ('17', '15'): [102, 5], ('1', '15'): [10, 6], ('17', '1', '15'): [7, 7]}
frozenset({'17', '1', '16'})	{('17',): [540, 1], ('1',): [66, 2], ('16',): [136, 4], ('17', '1'): [40, 3], ('17', '16'): [88, 5], ('1', '16'): [8, 6], ('17', '1', '16'): [6, 7]}
frozenset({'17', '1', '2'})	{('17',): [540, 1], ('1',): [66, 2], ('2',): [20, 4], ('17', '1'): [40, 3], ('17', '2'): [6, 5], ('1', '2'): [1, 6], ('17', '1', '2'): [1, 7]}
frozenset({'17', '16', '15'})	{('17',): [540, 1], ('16',): [136, 2], ('15',): [173, 4], ('17', '16'): [88, 3], ('17', '15'): [102, 5], ('16', '15'): [30, 6], ('17', '16', '15'): [20, 7]}
frozenset({'17', '15', '2'})	{('17',): [540, 1], ('15',): [173, 2], ('2',): [20, 4], ('17', '15'): [102, 3], ('17', '2'): [6, 5], ('15', '2'): [3, 6], ('17', '15', '2'): [2, 7]}
frozenset({'17', '16', '2'})	{('17',): [540, 1], ('16',): [136, 2], ('2',): [20, 4], ('17', '16'): [88, 3], ('17', '2'): [6, 5], ('16', '2'): [2, 6], ('17', '16', '2'): [1, 7]}
frozenset({'2', '0', '18'})	{('2',): [20, 1], ('0',): [342, 2], ('18',): [285, 4], ('2', '0'): [9, 3], ('2', '18'): [8, 5], ('0', '18'): [105, 6], ('2', '0', '18'): [4, 7]}
frozenset({'1', '2', '18'})	{('1',): [66, 1], ('2',): [20, 2], ('18',): [285, 4], ('1', '2'): [1, 3], ('1', '18'): [23, 5], ('2', '18'): [8, 6], ('1', '2', '18'): [1, 7]}
frozenset({'1', '3', '18'})	{('1',): [66, 1], ('3',): [583, 2], ('18',): [285, 4], ('1', '3'): [41, 3], ('1', '18'): [23, 5], ('3', '18'): [184, 6], ('1', '3', '18'): [18, 7]}
frozenset({'1', '4', '18'})	{('1',): [66, 1], ('4',): [290, 2], ('18',): [285, 4], ('1', '4'): [17, 3], ('1', '18'): [23, 5], ('4', '18'): [98, 6], ('1', '4', '18'): [5, 7]}
frozenset({'1', '6', '18'})	{('1',): [66, 1], ('6',): [272, 2], ('18',): [285, 4], ('1', '6'): [9, 3], ('1', '18'): [23, 5], ('6', '18'): [90, 6], ('1', '6', '18'): [1, 7]}
frozenset({'1', '7', '18'})	{('1',): [66, 1], ('7',): [350, 2], ('18',): [285, 4], ('1', '7'): [29, 3], ('1', '18'): [23, 5], ('7', '18'): [114, 6], ('1', '7', '18'): [11, 7]}
frozenset({'10', '2', '18'})	{('10',): [319, 1], ('2',): [20, 2], ('18',): [285, 4], ('10', '2'): [5, 3], ('10', '18'): [110, 5], ('2', '18'): [8, 6], ('10', '2', '18'): [2, 7]}
frozenset({'12', '2', '18'})	{('12',): [277, 1], ('2',): [20, 2], ('18',): [285, 4], ('12', '2'): [8, 3], ('12', '18'): [85, 5], ('2', '18'): [8, 6], ('12', '2', '18'): [3, 7]}
frozenset({'12', '4', '18'})	{('12',): [277, 1], ('4',): [290, 2], ('18',): [285, 4], ('12', '4'): [89, 3], ('12', '18'): [85, 5], ('4', '18'): [98, 6], ('12', '4', '18'): [32, 7]}
frozenset({'12', '5', '18'})	{('12',): [277, 1], ('5',): [354, 2], ('18',): [285, 4], ('12', '5'): [103, 3], ('12', '18'): [85, 5], ('5', '18'): [109, 6], ('12', '5', '18'): [35, 7]}
frozenset({'12', '6', '18'})	{('12',): [277, 1], ('6',): [272, 2], ('18',): [285, 4], ('12', '6'): [73, 3], ('12', '18'): [85, 5], ('6', '18'): [90, 6], ('12', '6', '18'): [25, 7]}
frozenset({'12', '7', '18'})	{('12',): [277, 1], ('7',): [350, 2], ('18',): [285, 4], ('12', '7'): [98, 3], ('12', '18'): [85, 5], ('7', '18'): [114, 6], ('12', '7', '18'): [32, 7]}
frozenset({'2', '13', '18'})	{('2',): [20, 1], ('13',): [255, 2], ('18',): [285, 4], ('2', '13'): [7, 3], ('2', '18'): [8, 5], ('13', '18'): [87, 6], ('2', '13', '18'): [3, 7]}
frozenset({'2', '15', '18'})	{('2',): [20, 1], ('15',): [173, 2], ('18',): [285, 4], ('2', '15'): [3, 3], ('2', '18'): [8, 5], ('15', '18'): [51, 6], ('2', '15', '18'): [1, 7]}
frozenset({'3', '15', '18'})	{('3',): [583, 1], ('15',): [173, 2], ('18',): [285, 4], ('3', '15'): [112, 3], ('3', '18'): [184, 5], ('15', '18'): [51, 6], ('3', '15', '18'): [36, 7]}
frozenset({'16', '2', '18'})	{('16',): [136, 1], ('2',): [20, 2], ('18',): [285, 4], ('16', '2'): [2, 3], ('16', '18'): [42, 5], ('2', '18'): [8, 6], ('16', '2', '18'): [1, 7]}
frozenset({'16', '3', '18'})	{('16',): [136, 1], ('3',): [583, 2], ('18',): [285, 4], ('16', '3'): [81, 3], ('16', '18'): [42, 5], ('3', '18'): [184, 6], ('16', '3', '18'): [28, 7]}
frozenset({'16', '4', '18'})	{('16',): [136, 1], ('4',): [290, 2], ('18',): [285, 4], ('16', '4'): [45, 3], ('16', '18'): [42, 5], ('4', '18'): [98, 6], ('16', '4', '18'): [16, 7]}
frozenset({'16', '7', '18'})	{('16',): [136, 1], ('7',): [350, 2], ('18',): [285, 4], ('16', '7'): [60, 3], ('16', '18'): [42, 5], ('7', '18'): [114, 6], ('16', '7', '18'): [24, 7]}
frozenset({'19', '1', '0'})	{('19',): [286, 1], ('1',): [66, 2], ('0',): [342, 4], ('19', '1'): [21, 3], ('19', '0'): [113, 5], ('1', '0'): [28, 6], ('19', '1', '0'): [12, 7]}
frozenset({'19', '0', '10'})	{('19',): [286, 1], ('0',): [342, 2], ('10',): [319, 4], ('19', '0'): [113, 3], ('19', '10'): [109, 5], ('0', '10'): [112, 6], ('19', '0', '10'): [43, 7]}
frozenset({'19', '12', '0'})	{('19',): [286, 1], ('12',): [277, 2], ('0',): [342, 4], ('19', '12'): [75, 3], ('19', '0'): [113, 5], ('12', '0'): [104, 6], ('19', '12', '0'): [34, 7]}
frozenset({'19', '13', '0'})	{('19',): [286, 1], ('13',): [255, 2], ('0',): [342, 4], ('19', '13'): [84, 3], ('19', '0'): [113, 5], ('13', '0'): [96, 6], ('19', '13', '0'): [37, 7]}
frozenset({'19', '0', '15'})	{('19',): [286, 1], ('0',): [342, 2], ('15',): [173, 4], ('19', '0'): [113, 3], ('19', '15'): [57, 5], ('0', '15'): [66, 6], ('19', '0', '15'): [27, 7]}
frozenset({'19', '16', '0'})	{('19',): [286, 1], ('16',): [136, 2], ('0',): [342, 4], ('19', '16'): [52, 3], ('19', '0'): [113, 5], ('16', '0'): [54, 6], ('19', '16', '0'): [23, 7]}
frozenset({'19', '0', '18'})	{('19',): [286, 1], ('0',): [342, 2], ('18',): [285, 4], ('19', '0'): [113, 3], ('19', '18'): [97, 5], ('0', '18'): [105, 6], ('19', '0', '18'): [40, 7]}
frozenset({'19', '0', '2'})	{('19',): [286, 1], ('0',): [342, 2], ('2',): [20, 4], ('19', '0'): [113, 3], ('19', '2'): [11, 5], ('0', '2'): [9, 6], ('19', '0', '2'): [6, 7]}
frozenset({'19', '4', '0'})	{('19',): [286, 1], ('4',): [290, 2], ('0',): [342, 4], ('19', '4'): [85, 3], ('19', '0'): [113, 5], ('4', '0'): [113, 6], ('19', '4', '0'): [38, 7]}
frozenset({'19', '5', '0'})	{('19',): [286, 1], ('5',): [354, 2], ('0',): [342, 4], ('19', '5'): [107, 3], ('19', '0'): [113, 5], ('5', '0'): [137, 6], ('19', '5', '0'): [46, 7]}
frozenset({'19', '6', '0'})	{('19',): [286, 1], ('6',): [272, 2], ('0',): [342, 4], ('19', '6'): [84, 3], ('19', '0'): [113, 5], ('6', '0'): [92, 6], ('19', '6', '0'): [33, 7]}
frozenset({'19', '7', '0'})	{('19',): [286, 1], ('7',): [350, 2], ('0',): [342, 4], ('19', '7'): [107, 3], ('19', '0'): [113, 5], ('7', '0'): [127, 6], ('19', '7', '0'): [39, 7]}
frozenset({'19', '1', '10'})	{('19',): [286, 1], ('1',): [66, 2], ('10',): [319, 4], ('19', '1'): [21, 3], ('19', '10'): [109, 5], ('1', '10'): [22, 6], ('19', '1', '10'): [6, 7]}
frozenset({'19', '1', '12'})	{('19',): [286, 1], ('1',): [66, 2], ('12',): [277, 4], ('19', '1'): [21, 3], ('19', '12'): [75, 5], ('1', '12'): [25, 6], ('19', '1', '12'): [8, 7]}
frozenset({'19', '1', '13'})	{('19',): [286, 1], ('1',): [66, 2], ('13',): [255, 4], ('19', '1'): [21, 3], ('19', '13'): [84, 5], ('1', '13'): [15, 6], ('19', '1', '13'): [6, 7]}
frozenset({'19', '1', '15'})	{('19',): [286, 1], ('1',): [66, 2], ('15',): [173, 4], ('19', '1'): [21, 3], ('19', '15'): [57, 5], ('1', '15'): [10, 6], ('19', '1', '15'): [4, 7]}
frozenset({'19', '1', '16'})	{('19',): [286, 1], ('1',): [66, 2], ('16',): [136, 4], ('19', '1'): [21, 3], ('19', '16'): [52, 5], ('1', '16'): [8, 6], ('19', '1', '16'): [2, 7]}
frozenset({'19', '1', '18'})	{('19',): [286, 1], ('1',): [66, 2], ('18',): [285, 4], ('19', '1'): [21, 3], ('19', '18'): [97, 5], ('1', '18'): [23, 6], ('19', '1', '18'): [7, 7]}
frozenset({'19', '1', '2'})	{('19',): [286, 1], ('1',): [66, 2], ('2',): [20, 4], ('19', '1'): [21, 3], ('19', '2'): [11, 5], ('1', '2'): [1, 6], ('19', '1', '2'): [0, 7]}
frozenset({'19', '1', '4'})	{('19',): [286, 1], ('1',): [66, 2], ('4',): [290, 4], ('19', '1'): [21, 3], ('19', '4'): [85, 5], ('1', '4'): [17, 6], ('19', '1', '4'): [5, 7]}
frozenset({'19', '5', '1'})	{('19',): [286, 1], ('5',): [354, 2], ('1',): [66, 4], ('19', '5'): [107, 3], ('19', '1'): [21, 5], ('5', '1'): [22, 6], ('19', '5', '1'): [7, 7]}
frozenset({'19', '1', '6'})	{('19',): [286, 1], ('1',): [66, 2], ('6',): [272, 4], ('19', '1'): [21, 3], ('19', '6'): [84, 5], ('1', '6'): [9, 6], ('19', '1', '6'): [5, 7]}
frozenset({'19', '1', '7'})	{('19',): [286, 1], ('1',): [66, 2], ('7',): [350, 4], ('19', '1'): [21, 3], ('19', '7'): [107, 5], ('1', '7'): [29, 6], ('19', '1', '7'): [7, 7]}
frozenset({'19', '12', '10'})	{('19',): [286, 1], ('12',): [277, 2], ('10',): [319, 4], ('19', '12'): [75, 3], ('19', '10'): [109, 5], ('12', '10'): [103, 6], ('19', '12', '10'): [31, 7]}
frozenset({'19', '13', '10'})	{('19',): [286, 1], ('13',): [255, 2], ('10',): [319, 4], ('19', '13'): [84, 3], ('19', '10'): [109, 5], ('13', '10'): [78, 6], ('19', '13', '10'): [26, 7]}
frozenset({'19', '15', '10'})	{('19',): [286, 1], ('15',): [173, 2], ('10',): [319, 4], ('19', '15'): [57, 3], ('19', '10'): [109, 5], ('15', '10'): [62, 6], ('19', '15', '10'): [23, 7]}
frozenset({'19', '16', '10'})	{('19',): [286, 1], ('16',): [136, 2], ('10',): [319, 4], ('19', '16'): [52, 3], ('19', '10'): [109, 5], ('16', '10'): [44, 6], ('19', '16', '10'): [22, 7]}
frozenset({'19', '18', '10'})	{('19',): [286, 1], ('18',): [285, 2], ('10',): [319, 4], ('19', '18'): [97, 3], ('19', '10'): [109, 5], ('18', '10'): [110, 6], ('19', '18', '10'): [42, 7]}
frozenset({'19', '2', '10'})	{('19',): [286, 1], ('2',): [20, 2], ('10',): [319, 4], ('19', '2'): [11, 3], ('19', '10'): [109, 5], ('2', '10'): [5, 6], ('19', '2', '10'): [3, 7]}
frozenset({'19', '4', '10'})	{('19',): [286, 1], ('4',): [290, 2], ('10',): [319, 4], ('19', '4'): [85, 3], ('19', '10'): [109, 5], ('4', '10'): [96, 6], ('19', '4', '10'): [30, 7]}
frozenset({'19', '5', '10'})	{('19',): [286, 1], ('5',): [354, 2], ('10',): [319, 4], ('19', '5'): [107, 3], ('19', '10'): [109, 5], ('5', '10'): [120, 6], ('19', '5', '10'): [39, 7]}
frozenset({'19', '6', '10'})	{('19',): [286, 1], ('6',): [272, 2], ('10',): [319, 4], ('19', '6'): [84, 3], ('19', '10'): [109, 5], ('6', '10'): [98, 6], ('19', '6', '10'): [35, 7]}
frozenset({'19', '7', '10'})	{('19',): [286, 1], ('7',): [350, 2], ('10',): [319, 4], ('19', '7'): [107, 3], ('19', '10'): [109, 5], ('7', '10'): [120, 6], ('19', '7', '10'): [43, 7]}
frozenset({'19', '13', '12'})	{('19',): [286, 1], ('13',): [255, 2], ('12',): [277, 4], ('19', '13'): [84, 3], ('19', '12'): [75, 5], ('13', '12'): [78, 6], ('19', '13', '12'): [24, 7]}
frozenset({'19', '12', '15'})	{('19',): [286, 1], ('12',): [277, 2], ('15',): [173, 4], ('19', '12'): [75, 3], ('19', '15'): [57, 5], ('12', '15'): [53, 6], ('19', '12', '15'): [13, 7]}
frozenset({'19', '16', '12'})	{('19',): [286, 1], ('16',): [136, 2], ('12',): [277, 4], ('19', '16'): [52, 3], ('19', '12'): [75, 5], ('16', '12'): [48, 6], ('19', '16', '12'): [23, 7]}
frozenset({'19', '12', '18'})	{('19',): [286, 1], ('12',): [277, 2], ('18',): [285, 4], ('19', '12'): [75, 3], ('19', '18'): [97, 5], ('12', '18'): [85, 6], ('19', '12', '18'): [29, 7]}
frozenset({'19', '12', '2'})	{('19',): [286, 1], ('12',): [277, 2], ('2',): [20, 4], ('19', '12'): [75, 3], ('19', '2'): [11, 5], ('12', '2'): [8, 6], ('19', '12', '2'): [3, 7]}
frozenset({'19', '4', '12'})	{('19',): [286, 1], ('4',): [290, 2], ('12',): [277, 4], ('19', '4'): [85, 3], ('19', '12'): [75, 5], ('4', '12'): [89, 6], ('19', '4', '12'): [22, 7]}
frozenset({'19', '5', '12'})	{('19',): [286, 1], ('5',): [354, 2], ('12',): [277, 4], ('19', '5'): [107, 3], ('19', '12'): [75, 5], ('5', '12'): [103, 6], ('19', '5', '12'): [27, 7]}
frozenset({'19', '6', '12'})	{('19',): [286, 1], ('6',): [272, 2], ('12',): [277, 4], ('19', '6'): [84, 3], ('19', '12'): [75, 5], ('6', '12'): [73, 6], ('19', '6', '12'): [23, 7]}
frozenset({'19', '7', '12'})	{('19',): [286, 1], ('7',): [350, 2], ('12',): [277, 4], ('19', '7'): [107, 3], ('19', '12'): [75, 5], ('7', '12'): [98, 6], ('19', '7', '12'): [22, 7]}
frozenset({'19', '13', '15'})	{('19',): [286, 1], ('13',): [255, 2], ('15',): [173, 4], ('19', '13'): [84, 3], ('19', '15'): [57, 5], ('13', '15'): [50, 6], ('19', '13', '15'): [18, 7]}
frozenset({'19', '16', '13'})	{('19',): [286, 1], ('16',): [136, 2], ('13',): [255, 4], ('19', '16'): [52, 3], ('19', '13'): [84, 5], ('16', '13'): [41, 6], ('19', '16', '13'): [16, 7]}
frozenset({'19', '13', '18'})	{('19',): [286, 1], ('13',): [255, 2], ('18',): [285, 4], ('19', '13'): [84, 3], ('19', '18'): [97, 5], ('13', '18'): [87, 6], ('19', '13', '18'): [31, 7]}
frozenset({'19', '13', '2'})	{('19',): [286, 1], ('13',): [255, 2], ('2',): [20, 4], ('19', '13'): [84, 3], ('19', '2'): [11, 5], ('13', '2'): [7, 6], ('19', '13', '2'): [4, 7]}
frozenset({'19', '4', '13'})	{('19',): [286, 1], ('4',): [290, 2], ('13',): [255, 4], ('19', '4'): [85, 3], ('19', '13'): [84, 5], ('4', '13'): [77, 6], ('19', '4', '13'): [25, 7]}
frozenset({'19', '5', '13'})	{('19',): [286, 1], ('5',): [354, 2], ('13',): [255, 4], ('19', '5'): [107, 3], ('19', '13'): [84, 5], ('5', '13'): [95, 6], ('19', '5', '13'): [26, 7]}
frozenset({'19', '6', '13'})	{('19',): [286, 1], ('6',): [272, 2], ('13',): [255, 4], ('19', '6'): [84, 3], ('19', '13'): [84, 5], ('6', '13'): [88, 6], ('19', '6', '13'): [24, 7]}
frozenset({'19', '7', '13'})	{('19',): [286, 1], ('7',): [350, 2], ('13',): [255, 4], ('19', '7'): [107, 3], ('19', '13'): [84, 5], ('7', '13'): [99, 6], ('19', '7', '13'): [32, 7]}
frozenset({'19', '16', '15'})	{('19',): [286, 1], ('16',): [136, 2], ('15',): [173, 4], ('19', '16'): [52, 3], ('19', '15'): [57, 5], ('16', '15'): [30, 6], ('19', '16', '15'): [11, 7]}
frozenset({'19', '15', '18'})	{('19',): [286, 1], ('15',): [173, 2], ('18',): [285, 4], ('19', '15'): [57, 3], ('19', '18'): [97, 5], ('15', '18'): [51, 6], ('19', '15', '18'): [17, 7]}
frozenset({'19', '15', '2'})	{('19',): [286, 1], ('15',): [173, 2], ('2',): [20, 4], ('19', '15'): [57, 3], ('19', '2'): [11, 5], ('15', '2'): [3, 6], ('19', '15', '2'): [1, 7]}
frozenset({'19', '4', '15'})	{('19',): [286, 1], ('4',): [290, 2], ('15',): [173, 4], ('19', '4'): [85, 3], ('19', '15'): [57, 5], ('4', '15'): [55, 6], ('19', '4', '15'): [22, 7]}
frozenset({'19', '5', '15'})	{('19',): [286, 1], ('5',): [354, 2], ('15',): [173, 4], ('19', '5'): [107, 3], ('19', '15'): [57, 5], ('5', '15'): [63, 6], ('19', '5', '15'): [18, 7]}
frozenset({'19', '6', '15'})	{('19',): [286, 1], ('6',): [272, 2], ('15',): [173, 4], ('19', '6'): [84, 3], ('19', '15'): [57, 5], ('6', '15'): [48, 6], ('19', '6', '15'): [16, 7]}
frozenset({'19', '7', '15'})	{('19',): [286, 1], ('7',): [350, 2], ('15',): [173, 4], ('19', '7'): [107, 3], ('19', '15'): [57, 5], ('7', '15'): [73, 6], ('19', '7', '15'): [25, 7]}
frozenset({'19', '16', '18'})	{('19',): [286, 1], ('16',): [136, 2], ('18',): [285, 4], ('19', '16'): [52, 3], ('19', '18'): [97, 5], ('16', '18'): [42, 6], ('19', '16', '18'): [19, 7]}
frozenset({'19', '16', '2'})	{('19',): [286, 1], ('16',): [136, 2], ('2',): [20, 4], ('19', '16'): [52, 3], ('19', '2'): [11, 5], ('16', '2'): [2, 6], ('19', '16', '2'): [2, 7]}
frozenset({'19', '16', '4'})	{('19',): [286, 1], ('16',): [136, 2], ('4',): [290, 4], ('19', '16'): [52, 3], ('19', '4'): [85, 5], ('16', '4'): [45, 6], ('19', '16', '4'): [14, 7]}
frozenset({'19', '5', '16'})	{('19',): [286, 1], ('5',): [354, 2], ('16',): [136, 4], ('19', '5'): [107, 3], ('19', '16'): [52, 5], ('5', '16'): [50, 6], ('19', '5', '16'): [19, 7]}
frozenset({'19', '6', '16'})	{('19',): [286, 1], ('6',): [272, 2], ('16',): [136, 4], ('19', '6'): [84, 3], ('19', '16'): [52, 5], ('6', '16'): [45, 6], ('19', '6', '16'): [18, 7]}
frozenset({'19', '16', '7'})	{('19',): [286, 1], ('16',): [136, 2], ('7',): [350, 4], ('19', '16'): [52, 3], ('19', '7'): [107, 5], ('16', '7'): [60, 6], ('19', '16', '7'): [22, 7]}
frozenset({'19', '2', '18'})	{('19',): [286, 1], ('2',): [20, 2], ('18',): [285, 4], ('19', '2'): [11, 3], ('19', '18'): [97, 5], ('2', '18'): [8, 6], ('19', '2', '18'): [5, 7]}
frozenset({'19', '4', '18'})	{('19',): [286, 1], ('4',): [290, 2], ('18',): [285, 4], ('19', '4'): [85, 3], ('19', '18'): [97, 5], ('4', '18'): [98, 6], ('19', '4', '18'): [32, 7]}
frozenset({'19', '5', '18'})	{('19',): [286, 1], ('5',): [354, 2], ('18',): [285, 4], ('19', '5'): [107, 3], ('19', '18'): [97, 5], ('5', '18'): [109, 6], ('19', '5', '18'): [32, 7]}
frozenset({'19', '6', '18'})	{('19',): [286, 1], ('6',): [272, 2], ('18',): [285, 4], ('19', '6'): [84, 3], ('19', '18'): [97, 5], ('6', '18'): [90, 6], ('19', '6', '18'): [34, 7]}
frozenset({'19', '7', '18'})	{('19',): [286, 1], ('7',): [350, 2], ('18',): [285, 4], ('19', '7'): [107, 3], ('19', '18'): [97, 5], ('7', '18'): [114, 6], ('19', '7', '18'): [45, 7]}
frozenset({'1', '3', '2'})	{('1',): [66, 1], ('3',): [583, 2], ('2',): [20, 4], ('1', '3'): [41, 3], ('1', '2'): [1, 5], ('3', '2'): [13, 6], ('1', '3', '2'): [0, 7]}
frozenset({'1', '4', '2'})	{('1',): [66, 1], ('4',): [290, 2], ('2',): [20, 4], ('1', '4'): [17, 3], ('1', '2'): [1, 5], ('4', '2'): [5, 6], ('1', '4', '2'): [1, 7]}
frozenset({'1', '6', '2'})	{('1',): [66, 1], ('6',): [272, 2], ('2',): [20, 4], ('1', '6'): [9, 3], ('1', '2'): [1, 5], ('6', '2'): [6, 6], ('1', '6', '2'): [0, 7]}
frozenset({'1', '7', '2'})	{('1',): [66, 1], ('7',): [350, 2], ('2',): [20, 4], ('1', '7'): [29, 3], ('1', '2'): [1, 5], ('7', '2'): [7, 6], ('1', '7', '2'): [0, 7]}
frozenset({'12', '4', '2'})	{('12',): [277, 1], ('4',): [290, 2], ('2',): [20, 4], ('12', '4'): [89, 3], ('12', '2'): [8, 5], ('4', '2'): [5, 6], ('12', '4', '2'): [1, 7]}
frozenset({'12', '5', '2'})	{('12',): [277, 1], ('5',): [354, 2], ('2',): [20, 4], ('12', '5'): [103, 3], ('12', '2'): [8, 5], ('5', '2'): [8, 6], ('12', '5', '2'): [2, 7]}
frozenset({'12', '6', '2'})	{('12',): [277, 1], ('6',): [272, 2], ('2',): [20, 4], ('12', '6'): [73, 3], ('12', '2'): [8, 5], ('6', '2'): [6, 6], ('12', '6', '2'): [2, 7]}
frozenset({'12', '7', '2'})	{('12',): [277, 1], ('7',): [350, 2], ('2',): [20, 4], ('12', '7'): [98, 3], ('12', '2'): [8, 5], ('7', '2'): [7, 6], ('12', '7', '2'): [3, 7]}
frozenset({'3', '15', '2'})	{('3',): [583, 1], ('15',): [173, 2], ('2',): [20, 4], ('3', '15'): [112, 3], ('3', '2'): [13, 5], ('15', '2'): [3, 6], ('3', '15', '2'): [2, 7]}
frozenset({'16', '3', '2'})	{('16',): [136, 1], ('3',): [583, 2], ('2',): [20, 4], ('16', '3'): [81, 3], ('16', '2'): [2, 5], ('3', '2'): [13, 6], ('16', '3', '2'): [2, 7]}
frozenset({'16', '4', '2'})	{('16',): [136, 1], ('4',): [290, 2], ('2',): [20, 4], ('16', '4'): [45, 3], ('16', '2'): [2, 5], ('4', '2'): [5, 6], ('16', '4', '2'): [0, 7]}
frozenset({'16', '7', '2'})	{('16',): [136, 1], ('7',): [350, 2], ('2',): [20, 4], ('16', '7'): [60, 3], ('16', '2'): [2, 5], ('7', '2'): [7, 6], ('16', '7', '2'): [2, 7]}
frozenset({'19', '4', '2'})	{('19',): [286, 1], ('4',): [290, 2], ('2',): [20, 4], ('19', '4'): [85, 3], ('19', '2'): [11, 5], ('4', '2'): [5, 6], ('19', '4', '2'): [3, 7]}
frozenset({'19', '5', '2'})	{('19',): [286, 1], ('5',): [354, 2], ('2',): [20, 4], ('19', '5'): [107, 3], ('19', '2'): [11, 5], ('5', '2'): [8, 6], ('19', '5', '2'): [4, 7]}
frozenset({'19', '6', '2'})	{('19',): [286, 1], ('6',): [272, 2], ('2',): [20, 4], ('19', '6'): [84, 3], ('19', '2'): [11, 5], ('6', '2'): [6, 6], ('19', '6', '2'): [3, 7]}
frozenset({'19', '7', '2'})	{('19',): [286, 1], ('7',): [350, 2], ('2',): [20, 4], ('19', '7'): [107, 3], ('19', '2'): [11, 5], ('7', '2'): [7, 6], ('19', '7', '2'): [5, 7]}
frozenset({'1', '4', '3'})	{('1',): [66, 1], ('4',): [290, 2], ('3',): [583, 4], ('1', '4'): [17, 3], ('1', '3'): [41, 5], ('4', '3'): [179, 6], ('1', '4', '3'): [6, 7]}
frozenset({'1', '6', '3'})	{('1',): [66, 1], ('6',): [272, 2], ('3',): [583, 4], ('1', '6'): [9, 3], ('1', '3'): [41, 5], ('6', '3'): [163, 6], ('1', '6', '3'): [4, 7]}
frozenset({'1', '7', '3'})	{('1',): [66, 1], ('7',): [350, 2], ('3',): [583, 4], ('1', '7'): [29, 3], ('1', '3'): [41, 5], ('7', '3'): [222, 6], ('1', '7', '3'): [20, 7]}
frozenset({'16', '4', '3'})	{('16',): [136, 1], ('4',): [290, 2], ('3',): [583, 4], ('16', '4'): [45, 3], ('16', '3'): [81, 5], ('4', '3'): [179, 6], ('16', '4', '3'): [21, 7]}
frozenset({'16', '7', '3'})	{('16',): [136, 1], ('7',): [350, 2], ('3',): [583, 4], ('16', '7'): [60, 3], ('16', '3'): [81, 5], ('7', '3'): [222, 6], ('16', '7', '3'): [35, 7]}
frozenset({'4', '0', '10'})	{('4',): [290, 1], ('0',): [342, 2], ('10',): [319, 4], ('4', '0'): [113, 3], ('4', '10'): [96, 5], ('0', '10'): [112, 6], ('4', '0', '10'): [35, 7]}
frozenset({'13', '4', '0'})	{('13',): [255, 1], ('4',): [290, 2], ('0',): [342, 4], ('13', '4'): [77, 3], ('13', '0'): [96, 5], ('4', '0'): [113, 6], ('13', '4', '0'): [30, 7]}
frozenset({'4', '0', '15'})	{('4',): [290, 1], ('0',): [342, 2], ('15',): [173, 4], ('4', '0'): [113, 3], ('4', '15'): [55, 5], ('0', '15'): [66, 6], ('4', '0', '15'): [19, 7]}
frozenset({'4', '0', '18'})	{('4',): [290, 1], ('0',): [342, 2], ('18',): [285, 4], ('4', '0'): [113, 3], ('4', '18'): [98, 5], ('0', '18'): [105, 6], ('4', '0', '18'): [35, 7]}
